y	x
54.028473	-6.067073798
54.0284729	-6.067073822
54.0284729	-6.067501068
54.028751	-6.067501068
54.028751	-6.067635
54.028751	-6.068055
54.02875137	-6.068055
54.02875137	-6.068056107
54.02902603	-6.068056107
54.02902603	-6.068612099
54.02903483	-6.068612099
54.0293045	-6.06864993
54.0293045	-6.069723129
54.02958298	-6.069723129
54.02958298	-6.07083416
54.029861	-6.07083416
54.029861	-6.071945
54.02986145	-6.071945
54.02986145	-6.07194519
54.030139	-6.07194519
54.030139	-6.073611
54.029861	-6.073611
54.029861	-6.076943
54.029583	-6.076943
54.029583	-6.076944828
54.02958298	-6.076944828
54.02958298	-6.078610897
54.029583	-6.078610897
54.029583	-6.078612
54.029861	-6.078612
54.029861	-6.080833912
54.02958298	-6.080833912
54.02958298	-6.082499981
54.029583	-6.082499981
54.029583	-6.0825
54.029861	-6.0825
54.029861	-6.083056
54.03180695	-6.083056
54.03180695	-6.083611965
54.031808	-6.083611965
54.031808	-6.083612
54.031922	-6.083617
54.03291702	-6.083668949
54.03291702	-6.083669186
54.03291702	-6.084167004
54.0331955	-6.084167004
54.0331955	-6.084722996
54.03347397	-6.084722996
54.03347397	-6.085278034
54.03374863	-6.085278034
54.03374863	-6.085834026
54.03541565	-6.085834026
54.03541565	-6.088056087
54.035972	-6.088056087
54.035972	-6.088458
54.035972	-6.08861
54.0359726	-6.08861
54.0359726	-6.08861208
54.03625107	-6.08861208
54.03625107	-6.089167118
54.03652954	-6.089167118
54.03652954	-6.08972311
54.036804	-6.08972311
54.036804	-6.090279
54.037082	-6.090279
54.037082	-6.090832
54.03708267	-6.090832
54.03708267	-6.090834141
54.03736115	-6.090834141
54.03736115	-6.091945171
54.03763962	-6.091945171
54.03763962	-6.097499847
54.03790299	-6.097507514
54.037918	-6.097508
54.037918	-6.098611
54.0381	-6.098611
54.03819275	-6.098611
54.03819275	-6.09916687
54.038194	-6.099166905
54.038194	-6.099167
54.03821018	-6.099167354
54.03833008	-6.099170685
54.03874969	-6.099183083
54.03874969	-6.099722862
54.03875	-6.099722862
54.03875	-6.099723
54.039028	-6.099723
54.039028	-6.101389
54.03903012	-6.101388931
54.039306	-6.101388931
54.039306	-6.102499
54.03930664	-6.102499
54.03930664	-6.102499962
54.039584	-6.102499962
54.039584	-6.1026
54.039584	-6.103055
54.03958511	-6.103055
54.03958511	-6.103055954
54.03985977	-6.103055954
54.03985977	-6.104166985
54.040138	-6.104166985
54.040138	-6.104329
54.040138	-6.105834
54.04013824	-6.105834
54.04013824	-6.105834007
54.040416	-6.105834007
54.040416	-6.10639
54.04041672	-6.106389988
54.04041672	-6.106389999
54.04069519	-6.106389999
54.04069519	-6.106945038
54.04097366	-6.106945038
54.04097366	-6.10750103
54.04124832	-6.10750103
54.04124832	-6.10639
54.041526	-6.10639
54.041526	-6.106389999
54.04152679	-6.106389999
54.04152679	-6.105834007
54.04180527	-6.105834007
54.04180527	-6.105834
54.041806	-6.105834
54.041806	-6.105753918
54.04182053	-6.104166031
54.04185563	-6.104168384
54.042114	-6.104186
54.042084	-6.103612
54.042285	-6.103612
54.042362	-6.103612
54.042362	-6.103610992
54.04236221	-6.103610992
54.04236221	-6.103055954
54.04291534	-6.103055954
54.04291534	-6.103055
54.042916	-6.103055
54.042916	-6.102741
54.042916	-6.102499962
54.04319382	-6.102499962
54.04319382	-6.102499
54.043194	-6.102499
54.043194	-6.102066
54.043194	-6.100833893
54.04347229	-6.100833893
54.04349892	-6.100769226
54.0435	-6.100769
54.043518	-6.099723
54.04375	-6.099723
54.04375	-6.099722862
54.04375076	-6.099722862
54.04375076	-6.099167
54.04430389	-6.099167
54.04430389	-6.099722862
54.044304	-6.099722862
54.044304	-6.099723
54.045138	-6.099723
54.045138	-6.100277
54.04513931	-6.100277
54.04513931	-6.100277901
54.04541779	-6.100277901
54.04541779	-6.100277
54.045419	-6.100277
54.045419	-6.099723
54.045697	-6.099723
54.045697	-6.099092
54.045697	-6.098611
54.045884	-6.098611
54.04597	-6.098611
54.04597	-6.098610878
54.04597092	-6.098610878
54.04597092	-6.09805584
54.04652786	-6.09805584
54.04652786	-6.098055
54.046529	-6.098055
54.046529	-6.097444
54.046529	-6.096945
54.046684	-6.096945
54.046807	-6.096945
54.046807	-6.096776
54.046807	-6.096389
54.04681108	-6.096388817
54.04708481	-6.096388817
54.04708481	-6.096376534
54.047119	-6.096375
54.04708505	-6.095833778
54.04791641	-6.095833778
54.04791641	-6.095803021
54.047917	-6.095803
54.047917	-6.094723225
54.04819489	-6.094723225
54.04819489	-6.094723
54.048195	-6.094723
54.048195	-6.094716535
54.04821395	-6.09361204
54.048523	-6.093629
54.048523	-6.093057
54.04900063	-6.09307701
54.04902649	-6.093078136
54.04902649	-6.093078093
54.049072	-6.09308
54.049072	-6.09192
54.04875183	-6.091944935
54.04875183	-6.091390133
54.048751	-6.09139013
54.048751	-6.091389
54.04847336	-6.091389
54.04847336	-6.091384931
54.048523	-6.090821
54.048195	-6.090832
54.048195	-6.089978
54.048195	-6.089723
54.048097	-6.089723
54.047917	-6.089723
54.047928	-6.089164
54.04792785	-6.089164001
54.04792786	-6.08916378
54.04775845	-6.089165173
54.047639	-6.089166
54.047639	-6.088056
54.047361	-6.088056
54.047361	-6.086390018
54.04763794	-6.086390018
54.04763794	-6.086388
54.047639	-6.086388
54.047639	-6.085834026
54.04791641	-6.085834026
54.04791641	-6.085832004
54.047917	-6.085832
54.047917	-6.085278034
54.04819489	-6.085278034
54.04819489	-6.085278
54.048195	-6.085278
54.048195	-6.085091
54.048195	-6.084722995
54.04847336	-6.084720135
54.04847336	-6.084718605
54.048523	-6.084718
54.04847336	-6.084169954
54.04847336	-6.084167004
54.04875183	-6.084167004
54.04875183	-6.083611965
54.04847336	-6.083611965
54.04847336	-6.083607673
54.048523	-6.083008
54.04819518	-6.083055973
54.048195	-6.083055973
54.048195	-6.08252
54.04819489	-6.082519997
54.04819489	-6.082499981
54.047361	-6.082499981
54.047361	-6.08191
54.04652924	-6.08194399
54.046529	-6.08194399
54.046529	-6.08139
54.04652786	-6.08139
54.04652786	-6.08138895
54.04597092	-6.08138895
54.04597092	-6.080278
54.046326	-6.080278
54.046529	-6.080278
54.046529	-6.079931
54.046529	-6.079722881
54.04680634	-6.079722881
54.04680634	-6.079722
54.046807	-6.079722
54.046807	-6.079419
54.046807	-6.078612
54.047119	-6.078614
54.047119	-6.078056
54.047639	-6.078056
54.047639	-6.077499866
54.04791641	-6.077499866
54.04791641	-6.077499
54.047917	-6.077499
54.047917	-6.076417
54.04902649	-6.076390012
54.04902649	-6.076944828
54.05014038	-6.076944828
54.05014038	-6.077499866
54.050415	-6.077499866
54.050415	-6.078056
54.05069351	-6.078056
54.05069351	-6.078610897
54.05072	-6.078610897
54.05072	-6.078614
54.050973	-6.078612
54.050973	-6.078056
54.05125046	-6.078056
54.05125046	-6.078610897
54.051251	-6.078610897
54.051251	-6.078612
54.051331	-6.078612
54.051529	-6.078612
54.051529	-6.078056
54.051807	-6.078056
54.051807	-6.078612
54.05188	-6.078612
54.053195	-6.078614
54.053195	-6.079722
54.05319595	-6.079722
54.05319595	-6.079722881
54.05347061	-6.079722881
54.05347061	-6.08027792
54.053471	-6.08027792
54.053471	-6.080278
54.05347557	-6.08027792
54.05374908	-6.08027792
54.05374908	-6.08082723
54.053749	-6.080834
54.054027	-6.080834
54.054027	-6.081944
54.05402756	-6.081943936
54.05402756	-6.081944942
54.05430603	-6.081944942
54.05430603	-6.082462009
54.054305	-6.0825
54.054503	-6.0825
54.0545845	-6.0825
54.0545845	-6.083055973
54.054585	-6.083055973
54.054585	-6.083056
54.054729	-6.083056
54.05486298	-6.083056
54.05486298	-6.083611965
54.054863	-6.083611965
54.054863	-6.083612
54.055907	-6.083614
54.05675503	-6.083618722
54.05680466	-6.083619118
54.05680466	-6.084167004
54.057083	-6.084167004
54.057083	-6.084722
54.05708313	-6.084722029
54.05708313	-6.084722042
54.05708319	-6.084722042
54.057361	-6.084784
54.057361	-6.085278
54.0573616	-6.085278
54.0573616	-6.085278034
54.057639	-6.085278034
54.057639	-6.086944
54.05791855	-6.08697561
54.05791855	-6.086976051
54.05791855	-6.089723
54.057639	-6.089723
54.05764008	-6.089753285
54.05764008	-6.090822316
54.057361	-6.090832
54.057361	-6.091309
54.057361	-6.091389
54.056896	-6.091389
54.056805	-6.091389
54.056805	-6.091390132
54.05680466	-6.091390133
54.05680466	-6.093056202
54.05703896	-6.093073053
54.05708313	-6.093076461
54.05708313	-6.093609501
54.057083	-6.093611
54.05708313	-6.093611
54.05708313	-6.093612194
54.057361	-6.093612194
54.057361	-6.093702
54.057361	-6.094167
54.0573616	-6.094167004
54.0573616	-6.094167233
54.05739785	-6.094167233
54.057678	-6.094169
54.05915964	-6.094177091
54.05932617	-6.0941782
54.05932617	-6.093629
54.06124878	-6.093629
54.06124878	-6.094167233
54.06152725	-6.094190121
54.06152725	-6.094723225
54.06180573	-6.094723225
54.06180573	-6.095277786
54.062084	-6.095277786
54.062084	-6.095833
54.0620842	-6.095832997
54.0620842	-6.095833778
54.06263733	-6.095833778
54.06263733	-6.096388817
54.062638	-6.096388817
54.062638	-6.096389
54.06264178	-6.096388817
54.0629158	-6.096388817
54.0629158	-6.09805584
54.06264699	-6.09805584
54.062638	-6.098055
54.062638	-6.09805584
54.06263733	-6.09805584
54.06263733	-6.098610878
54.06242454	-6.098611
54.061088	-6.098611
54.060974	-6.098611
54.060974	-6.09916687
54.06069565	-6.09916687
54.06069565	-6.099722862
54.060696	-6.099722862
54.060696	-6.099723
54.060974	-6.099723
54.060974	-6.099935
54.060974	-6.102499
54.06097412	-6.102498992
54.06097412	-6.102499962
54.06124878	-6.102499962
54.06124878	-6.103610992
54.06125003	-6.103610992
54.06125	-6.103612
54.06125786	-6.103610992
54.06152315	-6.103610992
54.06152725	-6.104549903
54.06152725	-6.104722977
54.06180573	-6.104722977
54.06180573	-6.106945038
54.062084	-6.106945038
54.062084	-6.1075
54.061806	-6.1075
54.061806	-6.10750103
54.06180573	-6.10750103
54.06180573	-6.108056
54.061708	-6.108056
54.061528	-6.108056
54.061528	-6.108056068
54.06152725	-6.108056068
54.06152725	-6.11027813
54.06180573	-6.11027813
54.06180573	-6.11138916
54.0618122	-6.11138916
54.062084	-6.11144
54.062084	-6.1125
54.0620842	-6.112500034
54.0620842	-6.112500191
54.06208512	-6.112500194
54.062362	-6.112548
54.062362	-6.113056
54.06236267	-6.113056
54.06236267	-6.113056183
54.06263733	-6.113056183
54.06263733	-6.115834236
54.0629158	-6.115834236
54.0629158	-6.118610859
54.062916	-6.11861086
54.062916	-6.118611
54.062957	-6.118611
54.063194	-6.118611812
54.063194	-6.119094
54.063194	-6.119723
54.063294	-6.119723
54.064584	-6.119723
54.064584	-6.119167
54.064898	-6.119167
54.06513977	-6.119167
54.06513977	-6.120277882
54.0648613	-6.120277882
54.0648613	-6.120833
54.064584	-6.120833
54.064584	-6.120833874
54.06458282	-6.120833874
54.06458282	-6.121388912
54.064584	-6.121388912
54.064584	-6.121389
54.06488	-6.121389
54.06513977	-6.121389
54.06513977	-6.122499943
54.06514	-6.122499943
54.06514	-6.122501
54.065309	-6.122501
54.065418	-6.122501
54.065418	-6.122645
54.065418	-6.123055
54.06541824	-6.123055
54.06541824	-6.123055935
54.0656929	-6.123055935
54.0656929	-6.124166965
54.065694	-6.124166965
54.065694	-6.124167
54.06624985	-6.124167
54.06624985	-6.125277996
54.06545436	-6.125277996
54.065418	-6.125277
54.065418	-6.126389
54.0656929	-6.126441789
54.0656929	-6.126441956
54.0656929	-6.126945019
54.06597137	-6.126945019
54.06597137	-6.127499
54.065694	-6.127499
54.065694	-6.127501011
54.0656929	-6.127501011
54.0656929	-6.128056049
54.06597137	-6.128056049
54.06597137	-6.128612041
54.0668061	-6.128612041
54.06680679	-6.128700474
54.06680679	-6.129723072
54.0665593	-6.129723072
54.066528	-6.129721
54.066528	-6.129883
54.066528	-6.130277
54.06652832	-6.130277
54.06652832	-6.130278111
54.066806	-6.130278111
54.066806	-6.130834
54.06625	-6.130834
54.06625	-6.129833
54.06625	-6.129721
54.065616	-6.129721
54.065418	-6.129721
54.065418	-6.129892
54.065418	-6.130277
54.065304	-6.130277
54.06514	-6.130277
54.06514	-6.130278111
54.06513977	-6.130278111
54.06513977	-6.134722
54.064087	-6.134722
54.063752	-6.134722
54.063752	-6.134166
54.062683	-6.134166
54.0626829	-6.134167194
54.06263733	-6.134167194
54.06263733	-6.134704022
54.0620842	-6.134721994
54.0620842	-6.134167194
54.062084	-6.134167194
54.062084	-6.134166
54.061074	-6.134166
54.060974	-6.134166
54.060974	-6.134501
54.060974	-6.134722
54.060696	-6.134722
54.060696	-6.134723186
54.06069565	-6.134723186
54.06069565	-6.135278225
54.06045107	-6.135278225
54.060418	-6.135278
54.06041801	-6.135278225
54.06041718	-6.135278225
54.06041718	-6.136388779
