ID_0,ISO,NAME_0,ID_1,NAME_1,NL_NAME_1,VARNAME_1,TYPE_1,ENGTYPE_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area,POP,CASES,DEATHS,Cases/Pop,Case fatal
80,GBR,Armagh,38,Craigavon,,,,,14059,Craigavon,,,GB.CR,,District,District,197310,Present,,1.11482574105,0.05304006345,30654,704,271,2296.600770,0.38490
80,GBR,United Kingdom,39,Derry,,,,,14060,Derry,Londonderry,,GB.LD,,District,London Borough (city),,Present,,1.38663810177,0.05313878656,15150,58,14,382.838283,0.24130
80,GBR,United Kingdom,40,Down,,,,,14061,Down,,,GB.DW,,District,District,197310,Present,,3.42190418907,0.09004712993,28478,348,158,1221.995920,0.45400
80,GBR,United Kingdom,41,Dungannon,,,,,14062,Dungannon,,,GB.DN,,District,District,197310,Present,,2.15218394691,0.10594395444,3801,0,0,0.000000,0.00000
80,GBR,United Kingdom,42,Fermanagh,,,,,14063,Fermanagh,,,GB.FE,,District,District,197310,Present,,3.03327892625,0.25917994542,5686,0,0,0.000000,0.00000
80,GBR,United Kingdom,43,Larne,,,,,14064,Larne,,,GB.LR,,District,District,197310,Present,,2.09585668975,0.04785601219,3345,0,0,0.000000,0.00000
80,GBR,United Kingdom,44,Limavady,,,,,14065,Limavady,,,GB.LM,,District,District,197310,Present,,1.60831169895,0.08469736334,3101,2,2,64.495324,1.00000
80,GBR,United Kingdom,45,Lisburn,,,,,14066,Lisburn,,,GB.LB,,District,District,197310,Present,,1.19457527595,0.06264173712,7524,565,196,7509.303560,0.34690
80,GBR,Derry,46,Magherafelt,,,,,14067,Magherafelt,,,GB.MF,,District,District,197310,Present,,1.42362146461,0.07859236291,24506,63,17,257.079898,0.26980
80,GBR,United Kingdom,47,Moyle,,,,,14068,Moyle,,,GB.MY,,District,District,197310,Present,,2.32954442534,0.07300805250,92067,3590,1243,3899.334180,0.34620
80,GBR,United Kingdom,48,Mourne,,,,,14069,Newry and Mourne,Mourne,,GB.NM,,District,District,197310,Present,,2.58239083878,0.12540443582,28478,348,158,1221.995920,0.45400
80,GBR,United Kingdom,49,Newtownabbey,,,,,14070,Newtownabbey,,,GB.NW,,District,District,197310,Present,,0.73787595591,0.01943213128,92067,3590,1243,3899.334180,0.34620
80,GBR,United Kingdom,50,North Down,,,,,14071,North Down,,,GB.ND,,District,District,197310,Present,,0.81220306477,0.01227289883,28478,348,158,1221.995920,0.45400
80,GBR,United Kingdom,51,Omagh,,,,,14072,Omagh,,,GB.OM,,District,District,197310,Present,,2.13473644998,0.16151624158,2947,0,0,0.000000,0.00000
80,GBR,United Kingdom,52,Strabane,,,,,14073,Strabane,,,GB.SB,,District,District,197310,Present,,2.57237934225,0.12179574894,4704,0,0,0.000000,0.00000
