PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	y	x
Munster	Limerick	Limerick	65296	1500	746	49.7	85	278	52.66802	-8.630498
Munster	Limerick	Newcastle	2917	145	38	26.4	107	145	52.44875	-9.054582
Munster	Limerick	Rathkeale	4201	409	182	44.5	113	149	52.523807	-8.937097
Ulster	Londonderry	Coleraine	6255	3	1	33.3	7	142	55.12529	-6.66842
Ulster	Londonderry	Londonderry	15150	58	14	24.1	38	108	54.996612	-7.308575
Ulster	Londonderry	Newtownlimavady	3101	2	2	100	212	216	55.05222	-6.94035
Leinster	Longford	Granard	2408	0	0	0	0	0	53.779271	-7.491778
Leinster	Longford	Longford	4966	240	145	60.4	161	261	53.723565	-7.720881
Leinster	Louth	Ardee	3679	120	20	16.6	129	311	53.857623	-6.540001
Leinster	Louth	Drogheda	19260	214	72	33.6	89	175	53.717856	-6.356099
Leinster	Louth	Dundalk	10782	224	73	32.5	161	233	53.997945	-6.405957
Connaught	Mayo	Ballina	7012	728	232	31.8	233	303	54.114948	-9.155069
Connaught	Mayo	Ballinrobe	2678	110	57	51.8	118	167	53.623734	-9.221114
Connaught	Mayo	Castlebar	5137	148	58	39.1	165	259	53.855001	-9.287926
Connaught	Mayo	Clare	2256	0	0	0	0	0	53.719591	-8.990909
Connaught	Mayo	Westport	4365	90	40	44.4	153	217	53.802131	-9.514347
Leinster	Meath	Kells	4205	330	156	47.2	203	256	53.726835	-6.874833
Leinster	Meath	Navan	5628	38	16	42.1	120	242	53.655429	-6.6867
Leinster	Meath	Trim	2269	6	5	83.3	233	287	53.554826	-6.791115
Ulster	Monaghan	Castleblayney	2134	0	0	0	0	0	54.120659	-6.739737
Ulster	Monaghan	Clones	2877	0	0	0	0	0	54.179683	-7.230667
Ulster	Monaghan	Monaghan	4130	130	59	45.3	69	145	54.249205	-6.968313
Leinster	Queen's	Maryborough	3633	0	0	0	0	0	53.032812	-7.298793
Leinster	Queen's	Mountmellick	4755	5	3	60	205	236	53.118148	-7.326738
