PROV	COUNTY	TOWN	POP	CASES	DEATHS	MORT	FIRST_DAY	LAST_DAY	LAT	LONG	x	y
Connaught	Galway	Gort	3056	1044	403	38.6	114	233	53.066643	-8.818749	512145.0784	5879699.409
Connaught	Galway	Loughrea	5458	647	290	44.8	144	178	53.198914	-8.566093	528985.5743	5894486.326
Connaught	Galway	Tuam	6034	487	224	46	139	194	53.517988	-8.855627	509572.5666	5929904.64
Munster	Kerry	Dingle	3386	86	37	43	156	176	52.138761	-10.270536	413048.7063	5777232.979
Munster	Kerry	Killarney	7127	116	65	56	128	215	52.059935	-9.504427	465417.1862	5767824.448
Munster	Kerry	Listowel	2598	26	13	50	143	171	52.446049	-9.485365	467011.7185	5810761.712
Munster	Kerry	Tralee	11363	395	249	63	124	203	52.27131	-9.699932	452240.613	5791445.511
Leinster	Kildare	Athy	4698	27	11	40.8	204	300	52.991834	-6.985728	635196.3962	5873260.188
Leinster	Kildare	Maynooth	2129	141	47	33.3	186	304	53.38129	-6.59185	660170.9148	5917389.577
Leinster	Kildare	Naas	3571	0	0	0	0	0	53.220565	-6.659308	656270.734	5899364.294
Leinster	Kilkenny	Craiguenamanagh	2248	11	10	91	226	357	52.544508	-6.954861	638682.4288	5823567.911
Leinster	Kilkenny	Freshford	2075	88	31	35.2	82	573	52.732505	-7.396855	608247.6541	5843719.905
Leinster	Kilkenny	Kilkenny	23625	1046	529	50.5	65	329	52.654145	-7.244788	618727.144	5835244.066
Leinster	Kilkenny	Thomastown	2348	14	7	50	65	89	52.527082	-7.138821	626259.1456	5821292.162
Leinster	King's	Banagher	2827	62	20	32.2	158	191	53.186464	-7.995351	567130.5694	5893484.644
Leinster	King's	Parsonstown	6336	604	263	43.5	158	232	53.098005	-7.909688	573004.2214	5883728.356
Leinster	King's	Portarlington	3106	0	0	0	0	0	53.161211	-7.187757	621161.1449	5891737.923
Leinster	King's	Tullamore	6343	175	114	65.1	173	252	53.275526	-7.493385	600461.3612	5903980.019
Munster	Limerick	Limerick	65296	1500	746	49.7	85	278	52.66802	-8.630498	524987.1545	5835405.593
Munster	Limerick	Newcastle	2917	145	38	26.4	107	145	52.44875	-9.054582	496290.4995	5810952.775
Munster	Limerick	Rathkeale	4201	409	182	44.5	113	149	52.523807	-8.937097	504267.7416	5819301.979
Ulster	Londonderry	Coleraine	6255	3	1	33.3	7	142	55.12529	-6.66842	648668.4519	6111215.952
Ulster	Londonderry	Londonderry	15150	58	14	24.1	38	108	54.996612	-7.308575	608201.7261	6095722.786
Ulster	Londonderry	Newtownlimavady	3101	2	2	100	212	216	55.05222	-6.94035	631571.891	6102541.191
Leinster	Longford	Granard	2408	0	0	0	0	0	53.779271	-7.491778	599382.0649	5960019.061
Leinster	Longford	Longford	4966	240	145	60.4	161	261	53.723565	-7.720881	584398.0758	5953525.621
Leinster	Louth	Ardee	3679	120	20	16.6	129	311	53.857623	-6.540001	661786.4456	5970486.412
Leinster	Louth	Drogheda	19260	214	72	33.6	89	175	53.717856	-6.356099	674457.7559	5955376.64
Leinster	Louth	Dundalk	10782	224	73	32.5	161	233	53.997945	-6.405957	670028.7894	5986407.743
Connaught	Mayo	Ballina	7012	728	232	31.8	233	303	54.114948	-9.155069	489863.3252	5996322.068
Connaught	Mayo	Ballinrobe	2678	110	57	51.8	118	167	53.623734	-9.221114	485375.7024	5941682.166
Connaught	Mayo	Castlebar	5137	148	58	39.1	165	259	53.855001	-9.287926	481061.0799	5967427.627
Connaught	Mayo	Clare	2256	0	0	0	0	0	53.719591	-8.990909	500599.9085	5952323.993
Connaught	Mayo	Westport	4365	90	40	44.4	153	217	53.802131	-9.514347	466125.244	5961629.728
Leinster	Meath	Kells	4205	330	156	47.2	203	256	53.726835	-6.874833	640204.498	5955226.573
